ID,Image1,Image2,Type
1,1__M_Left_ring_finger.BMP,1__M_Right_ring_finger.BMP,1
2,1__M_Left_ring_finger.BMP,1__M_Left_thumb_finger.BMP,1
3,1__M_Left_ring_finger.BMP,1__M_Right_thumb_finger.BMP,1
4,1__M_Left_ring_finger.BMP,1__M_Left_middle_finger.BMP,1
5,1__M_Left_ring_finger.BMP,1__M_Right_middle_finger.BMP,1
6,1__M_Left_ring_finger.BMP,1__M_Left_little_finger.BMP,1
7,1__M_Left_ring_finger.BMP,1__M_Right_little_finger.BMP,1
8,1__M_Left_ring_finger.BMP,1__M_Left_index_finger.BMP,1
9,1__M_Left_ring_finger.BMP,1__M_Right_index_finger.BMP,1
10,1__M_Right_ring_finger.BMP,1__M_Left_thumb_finger.BMP,1
11,1__M_Right_ring_finger.BMP,1__M_Right_thumb_finger.BMP,1
12,1__M_Right_ring_finger.BMP,1__M_Left_middle_finger.BMP,1
13,1__M_Right_ring_finger.BMP,1__M_Right_middle_finger.BMP,1
14,1__M_Right_ring_finger.BMP,1__M_Left_little_finger.BMP,1
15,1__M_Right_ring_finger.BMP,1__M_Right_little_finger.BMP,1
16,1__M_Right_ring_finger.BMP,1__M_Left_index_finger.BMP,1
17,1__M_Right_ring_finger.BMP,1__M_Right_index_finger.BMP,1
18,1__M_Left_thumb_finger.BMP,1__M_Right_thumb_finger.BMP,1
19,1__M_Left_thumb_finger.BMP,1__M_Left_middle_finger.BMP,1
20,1__M_Left_thumb_finger.BMP,1__M_Right_middle_finger.BMP,1
21,1__M_Left_thumb_finger.BMP,1__M_Left_little_finger.BMP,1
22,1__M_Left_thumb_finger.BMP,1__M_Right_little_finger.BMP,1
23,1__M_Left_thumb_finger.BMP,1__M_Left_index_finger.BMP,1
24,1__M_Left_thumb_finger.BMP,1__M_Right_index_finger.BMP,1
25,1__M_Right_thumb_finger.BMP,1__M_Left_middle_finger.BMP,1
26,1__M_Right_thumb_finger.BMP,1__M_Right_middle_finger.BMP,1
27,1__M_Right_thumb_finger.BMP,1__M_Left_little_finger.BMP,1
28,1__M_Right_thumb_finger.BMP,1__M_Right_little_finger.BMP,1
29,1__M_Right_thumb_finger.BMP,1__M_Left_index_finger.BMP,1
30,1__M_Right_thumb_finger.BMP,1__M_Right_index_finger.BMP,1
31,1__M_Left_middle_finger.BMP,1__M_Right_middle_finger.BMP,1
32,1__M_Left_middle_finger.BMP,1__M_Left_little_finger.BMP,1
33,1__M_Left_middle_finger.BMP,1__M_Right_little_finger.BMP,1
34,1__M_Left_middle_finger.BMP,1__M_Left_index_finger.BMP,1
35,1__M_Left_middle_finger.BMP,1__M_Right_index_finger.BMP,1
36,1__M_Right_middle_finger.BMP,1__M_Left_little_finger.BMP,1
37,1__M_Right_middle_finger.BMP,1__M_Right_little_finger.BMP,1
38,1__M_Right_middle_finger.BMP,1__M_Left_index_finger.BMP,1
39,1__M_Right_middle_finger.BMP,1__M_Right_index_finger.BMP,1
40,1__M_Left_little_finger.BMP,1__M_Right_little_finger.BMP,1
41,1__M_Left_little_finger.BMP,1__M_Left_index_finger.BMP,1
42,1__M_Left_little_finger.BMP,1__M_Right_index_finger.BMP,1
43,1__M_Right_little_finger.BMP,1__M_Left_index_finger.BMP,1
44,1__M_Right_little_finger.BMP,1__M_Right_index_finger.BMP,1
45,1__M_Left_index_finger.BMP,1__M_Right_index_finger.BMP,1
46,2__M_Left_ring_finger.BMP,2__M_Right_ring_finger.BMP,1
47,2__M_Left_ring_finger.BMP,2__M_Left_thumb_finger.BMP,1
48,2__M_Left_ring_finger.BMP,2__M_Right_thumb_finger.BMP,1
49,2__M_Left_ring_finger.BMP,2__M_Left_middle_finger.BMP,1
50,2__M_Left_ring_finger.BMP,2__M_Right_middle_finger.BMP,1
51,2__M_Left_ring_finger.BMP,2__M_Left_little_finger.BMP,1
52,2__M_Left_ring_finger.BMP,2__M_Right_little_finger.BMP,1
53,2__M_Left_ring_finger.BMP,2__M_Left_index_finger.BMP,1
54,2__M_Left_ring_finger.BMP,2__M_Right_index_finger.BMP,1
55,2__M_Right_ring_finger.BMP,2__M_Left_thumb_finger.BMP,1
56,2__M_Right_ring_finger.BMP,2__M_Right_thumb_finger.BMP,1
57,2__M_Right_ring_finger.BMP,2__M_Left_middle_finger.BMP,1
58,2__M_Right_ring_finger.BMP,2__M_Right_middle_finger.BMP,1
59,2__M_Right_ring_finger.BMP,2__M_Left_little_finger.BMP,1
60,2__M_Right_ring_finger.BMP,2__M_Right_little_finger.BMP,1
61,2__M_Right_ring_finger.BMP,2__M_Left_index_finger.BMP,1
62,2__M_Right_ring_finger.BMP,2__M_Right_index_finger.BMP,1
63,2__M_Left_thumb_finger.BMP,2__M_Right_thumb_finger.BMP,1
64,2__M_Left_thumb_finger.BMP,2__M_Left_middle_finger.BMP,1
65,2__M_Left_thumb_finger.BMP,2__M_Right_middle_finger.BMP,1
66,2__M_Left_thumb_finger.BMP,2__M_Left_little_finger.BMP,1
67,2__M_Left_thumb_finger.BMP,2__M_Right_little_finger.BMP,1
68,2__M_Left_thumb_finger.BMP,2__M_Left_index_finger.BMP,1
69,2__M_Left_thumb_finger.BMP,2__M_Right_index_finger.BMP,1
70,2__M_Right_thumb_finger.BMP,2__M_Left_middle_finger.BMP,1
71,2__M_Right_thumb_finger.BMP,2__M_Right_middle_finger.BMP,1
72,2__M_Right_thumb_finger.BMP,2__M_Left_little_finger.BMP,1
73,2__M_Right_thumb_finger.BMP,2__M_Right_little_finger.BMP,1
74,2__M_Right_thumb_finger.BMP,2__M_Left_index_finger.BMP,1
75,2__M_Right_thumb_finger.BMP,2__M_Right_index_finger.BMP,1
76,2__M_Left_middle_finger.BMP,2__M_Right_middle_finger.BMP,1
77,2__M_Left_middle_finger.BMP,2__M_Left_little_finger.BMP,1
78,2__M_Left_middle_finger.BMP,2__M_Right_little_finger.BMP,1
79,2__M_Left_middle_finger.BMP,2__M_Left_index_finger.BMP,1
80,2__M_Left_middle_finger.BMP,2__M_Right_index_finger.BMP,1
81,2__M_Right_middle_finger.BMP,2__M_Left_little_finger.BMP,1
82,2__M_Right_middle_finger.BMP,2__M_Right_little_finger.BMP,1
83,2__M_Right_middle_finger.BMP,2__M_Left_index_finger.BMP,1
84,2__M_Right_middle_finger.BMP,2__M_Right_index_finger.BMP,1
85,2__M_Left_little_finger.BMP,2__M_Right_little_finger.BMP,1
86,2__M_Left_little_finger.BMP,2__M_Left_index_finger.BMP,1
87,2__M_Left_little_finger.BMP,2__M_Right_index_finger.BMP,1
88,2__M_Right_little_finger.BMP,2__M_Left_index_finger.BMP,1
89,2__M_Right_little_finger.BMP,2__M_Right_index_finger.BMP,1
90,2__M_Left_index_finger.BMP,2__M_Right_index_finger.BMP,1
91,3__M_Left_ring_finger.BMP,3__M_Right_ring_finger.BMP,1
92,3__M_Left_ring_finger.BMP,3__M_Left_thumb_finger.BMP,1
93,3__M_Left_ring_finger.BMP,3__M_Right_thumb_finger.BMP,1
94,3__M_Left_ring_finger.BMP,3__M_Left_middle_finger.BMP,1
95,3__M_Left_ring_finger.BMP,3__M_Right_middle_finger.BMP,1
96,3__M_Left_ring_finger.BMP,3__M_Left_little_finger.BMP,1
97,3__M_Left_ring_finger.BMP,3__M_Right_little_finger.BMP,1
